pressure_level,2024-02-14T21,2024-02-15T00,2024-02-15T03,2024-02-15T06,2024-02-15T09,2024-02-15T12,2024-02-15T15,2024-02-15T18,2024-02-15T21,2024-02-16T00,2024-02-16T03,2024-02-16T06,2024-02-16T09,2024-02-16T12,2024-02-16T15,2024-02-16T18,2024-02-16T21,2024-02-17T00,2024-02-17T03,2024-02-17T06,2024-02-17T09,2024-02-17T12,2024-02-17T15,2024-02-17T18,2024-02-17T21,2024-02-18T00,2024-02-18T03,2024-02-18T06,2024-02-18T09,2024-02-18T12,2024-02-18T15,2024-02-18T18,2024-02-18T21,2024-02-19T00,2024-02-19T03,2024-02-19T06,2024-02-19T09,2024-02-19T12,2024-02-19T15,2024-02-19T18,2024-02-19T21,2024-02-20T00,2024-02-20T03,2024-02-20T06,2024-02-20T09,2024-02-20T12,2024-02-20T15,2024-02-20T18,2024-02-20T21,2024-02-21T00,2024-02-21T03,2024-02-21T06,2024-02-21T09,2024-02-21T12,2024-02-21T15,2024-02-21T18,2024-02-21T21,2024-02-22T00,2024-02-22T03,2024-02-22T06,2024-02-22T09,2024-02-22T12,2024-02-22T15,2024-02-22T18,2024-02-22T21
1000.0,298.658447265625,298.827392578125,298.286865234375,297.8388671875,297.201904296875,297.438720703125,297.646728515625,298.14404296875,297.73828125,298.498291015625,298.586669921875,298.662353515625,298.8154296875,298.26220703125,297.5830078125,297.9931640625,298.385009765625,298.364501953125,298.37646484375,298.219970703125,297.383056640625,297.7451171875,297.77783203125,297.764892578125,297.8427734375,298.06787109375,297.737548828125,298.281982421875,298.32788085937494,298.43359375,298.39990234375,298.037109375,298.22265625,297.596923828125,297.465087890625,297.1591796875,296.995849609375,296.93896484375,297.2958984375,297.398193359375,297.085205078125,297.0009765625,296.908203125,296.802978515625,296.7059326171875,296.581787109375,296.73876953125,297.30078125,296.79443359375,296.622802734375,296.465087890625,296.2911376953125,296.2723388671875,296.57080078125,296.627685546875,296.826904296875,296.5458984375,296.310791015625,296.056640625,295.90185546875,295.6951904296875,295.8089599609375,295.8212890625,295.771484375,295.94677734375
975.0,298.7708402426742,299.4515275871973,298.8657626830593,298.2121257749154,297.57717825917877,297.59635947770215,298.16712368530267,298.3281967382877,297.734562616294,298.48263013870707,298.5352555331175,298.6264892776327,298.7745289385441,298.2738499524714,297.55406243172746,298.02424819860914,298.3486075221012,298.35647673995703,298.43123430958667,298.22245412335093,297.6814453957675,297.69300330949324,297.7751382708626,297.87424123323353,297.8471907968546,298.0372815906826,297.8501417535504,298.2713908218915,298.49049935656274,298.348361609043,298.76321693787656,298.026953242247,298.28860473595097,297.97629515230057,298.0766276799614,297.9841643701562,297.504633907071,297.630541392763,297.9042426263086,298.0112148065354,297.74956331283147,297.6580836552583,297.61062243506564,297.52430695171034,297.50020747202706,297.33642937540407,297.5380780829579,298.1046617685725,297.6093928697757,297.370365377407,297.22453893401746,297.04748153226285,297.0249804874567,297.2019149326821,297.5397994743639,297.536110778494,297.4647959916761,297.4256958154554,297.2100300635961,297.0537523152417,297.1281410152846,297.2295801517063,297.3403639843319,297.21101371582785,297.10158240502136
950.0,300.4038308866066,300.38648874307813,300.0237901984223,299.0184413635771,298.4000700743281,298.6857199527353,298.9790499232764,298.7288275666493,299.03132409876986,299.0516391811893,299.2585061789949,299.39228842907283,299.10738178538827,298.60247766379774,299.1232374594716,298.9072039000865,298.67803986060113,298.9726085556802,298.87103314358393,298.959973565395,298.4966905882732,298.2323467719155,298.37257038958984,298.28239124324085,298.83362366254363,298.9483295547401,299.0236440066357,299.2079662178544,298.990941678839,299.26494754659126,299.46710739115343,298.8157860291999,299.3764327549895,298.89977155285993,298.9656716982686,299.144048031706,298.5546628966403,297.9670119759276,298.407254676647,298.6822515240296,298.46919090353504,298.5018932313319,298.6039641332431,298.6465762573421,298.7479039245307,298.57547346887475,298.71371512728854,299.0565940793402,298.62873862399834,298.2006354237488,298.3572102053216,298.2401507365034,298.3142264638614,298.42187162619257,298.385205379875,298.4577946377876,298.25241410942715,298.43574534101555,298.4176599627643,298.3708361752369,298.3677393638926,298.48442721534946,298.58241032628615,298.6755624115256,298.81851122318307
925.0,302.2831037326067,301.15548071263,301.071851376413,300.2517846018673,299.6613864521564,299.92001329490495,299.9831721667347,299.99440595816674,300.3711124308575,300.1823847347978,300.1661581471736,300.49318629775337,300.21608610909414,299.45618252866274,300.15966751212386,299.9037867072807,299.9494707924382,300.16216391021993,300.1234697397313,299.96295134215677,299.78520779771947,299.26021527812435,299.4788997513365,299.61170813004526,299.9172672569993,299.9691923373968,300.06205834656896,300.2535320805345,299.94622547491326,300.4397633784983,300.20285519918525,299.9544635886303,300.2145882702365,299.9554621478686,299.7472625466597,299.62543831957356,299.901789588804,299.4963745380087,299.9387362806252,299.91077662194965,299.35557768539275,299.73702731446605,299.89829463146947,299.871583171842,299.97792973073285,299.9112759015689,299.8685874941267,300.1391970477364,299.90902914328257,299.76323949447436,299.79893798724754,299.63142967500386,299.69658566531047,299.5720154003184,299.774722925716,299.83763215773604,299.5907383860387,299.1300281174163,299.05363833567793,299.0255538570976,299.0757314588277,299.60746425328205,299.86609109603074,300.0658029437132,300.3768541464783
900.0,302.9866013811575,301.8823213937947,302.3082831205218,301.56605802079054,301.08700832930305,301.28552209326506,301.1393414888772,301.2248860766429,301.52504693900886,301.4425215719879,301.4656689310303,301.6621698811624,301.31948832664256,300.76470651480946,301.16047603409,301.07568625151055,301.18915863116445,301.20903516773336,301.2223700593558,301.14688954073887,300.7898666876818,300.4129672980557,300.71111534659167,300.7390431384799,301.05681612185634,301.068893004835,301.1670176790367,301.36200901879664,301.2125575919354,301.8035700527044,301.37584711387626,301.4825262468548,301.5668128259768,301.002721750181,300.9629686770428,300.9400729197291,300.9944188931332,300.6831875547035,301.208531964276,301.3255267681319,300.811504436352,301.10134962784014,301.1551923977867,301.23847256999386,301.2968441710576,301.18286858794625,301.22815689911624,301.50592520762575,301.3647766378126,301.1031108399411,301.08575032065943,300.9290024436654,300.96057846062007,300.77640599519515,301.1745657308985,301.1426123113507,300.9584398459259,300.83150677378535,300.23043024386743,299.8730299882172,299.9090090354245,300.50643734027597,300.8668568166709,301.26715516706827,301.3061534350203
875.0,303.3033250989137,302.85236207249864,303.4610860676595,302.8417094025832,302.4939758203476,302.4424879157568,302.4916931053658,302.31211952679314,302.78768514801277,302.66441853899266,302.80670777286156,302.956098786674,302.57108085973465,301.98087221942643,302.38643458120254,302.32505491169024,302.5408982949746,302.42194348092016,302.47393865550697,302.45719874563986,302.1330532182167,301.5783534776262,301.9950757793135,301.9189852799183,302.25961708221064,302.3199822117308,302.41509533597457,302.6722812239301,302.3897318361762,303.1281901328059,302.7744961281176,302.7752570331114,302.92135079195015,302.3658901463657,302.2974086969102,302.2315904149333,302.1151719508589,302.0168883891401,302.48890312038793,302.5974588995249,302.3557447464465,302.62117377183637,302.50259941027895,302.6333482517397,302.6541463215743,302.47863090296954,302.57526583720124,302.84018759259544,303.05336780840065,302.7264322959996,302.43754203329615,301.96184959457764,301.7665506461302,301.8332566505998,302.4982876153133,302.5091939202265,302.6431131991621,302.70702921865393,302.51173027020644,302.1014756609677,301.6780320318338,301.3777281942211,301.5070820431929,301.6559657870093,301.37113368427356
850.0,304.1623995938867,304.1260838940658,304.1314545257296,304.2178961210777,303.57444329889995,303.63940236759345,303.7925932421899,303.67699678923907,303.93018371052534,303.9173964922784,304.0746792767139,304.2797862573922,303.87647739388876,303.3926090554306,303.41051116097606,303.61331644237004,303.9664994103461,303.6539797963948,303.72251928619755,303.7437460684873,303.31767595650444,302.7685928049878,303.2624351736785,303.129448103912,303.5156220949647,303.62584791625204,303.69924654898847,303.99603788449616,303.7675302944262,304.3305515138318,304.04194399800207,304.1759540452284,304.1127851870892,303.96445345542656,303.6391466232285,303.5301995237661,303.41191775498334,303.4157539204574,303.75973009129575,303.97148642546244,303.81919065614323,304.39410398851834,304.0969290364632,304.07212183306456,303.99591001231363,304.02928465193776,303.94706283861103,303.9888770422779,304.34269937116636,304.60662755577965,304.2588152194674,303.6860757141943,303.27522239192524,303.12075279550425,303.68287890963256,303.80371812206465,303.9996183056052,304.03030762939756,304.07519076544366,303.55794778736157,303.7098599401333,303.8702116569479,303.53224547868547,303.551554178238,304.02071721571247
825.0,305.68836526911593,305.5779690699127,305.43997382090845,305.46293003990183,305.0329523201076,304.67803369837,305.22537186357886,304.98549227185197,305.1866816068487,305.26174070490504,305.49723540086904,305.6935239700133,305.2498756928411,305.026503943986,304.529978982616,304.96047257249984,305.45777133900435,305.0680314862097,305.0174762174155,305.0146389319221,304.7240751038788,303.99102370636547,304.6737777701297,304.4077177713488,304.9050165378534,304.96975823411503,305.06622594089555,305.4149541215564,305.19312998297033,305.4597058518408,305.4272060361876,305.5659750903263,305.441005561088,305.4277219062773,305.0387558586171,305.0784778555268,304.80055284468193,305.04842842279965,305.28895285213855,305.6585737714336,305.5713917262685,306.3230144470122,305.8279081283892,305.62710569595987,305.5659750903263,305.58158016054085,305.3276431088687,305.463574877514,305.4509360603153,305.9517169499256,305.91367153080773,305.97828425954697,305.5355387550319,304.76379710078845,304.8063563831916,304.84517560744405,305.25980619206854,305.2353023628061,305.49014218713535,304.97078997429446,305.2412348688381,305.3739424494225,305.0213452430885,305.0121885489958,305.8748523065551
800.0,307.25509050211133,306.9719789944466,306.724906957197,306.8421328158393,306.50984109222924,306.03547318922136,306.42358055473767,306.53482151937624,306.37921427527374,306.7120264244494,306.96547367487716,307.0729415541653,306.60898216246846,306.43333853409194,305.89417764817193,306.42175906525836,306.95675654665405,306.51088194336035,306.35358331616993,306.35033065638515,306.14164000459556,305.3457792084629,306.05824180771464,305.743124127768,306.3314652296335,306.3851991692777,306.4341191724403,306.8572251572406,306.620821844085,306.79347302545955,306.87583037120936,307.129928153594,306.99305622985173,306.8447349436673,306.50372609183387,306.48681226095334,306.2757796941187,306.89430547878675,306.97939505875587,307.48954221939596,307.4503801955875,308.1757233275869,307.5695576501009,307.19459103011485,307.16922028379395,306.90601505401185,306.7364864260307,306.8529316463247,307.01309261412587,307.0970112365723,307.2289391174418,307.27265486494883,306.9598791000472,306.6584225911967,306.7891795145438,306.72763919141613,306.87752175429745,306.95818771695934,307.26042486415827,306.5983134383746,306.77044419418337,307.0344300623138,306.72022312710686,306.85058973127974,307.6879544662659
775.0,308.57274327740464,308.23663585237546,308.11729145809744,308.2376861880786,307.7555821003024,307.630066983768,308.039960491948,308.21759851775454,307.833700818229,308.52600333861136,308.4094160755545,308.49409939162626,308.10166771451213,307.76779225285236,307.2069129873348,307.89540804079303,308.50709729595354,308.1569416308938,307.87282582317397,307.67496883508045,307.6643341860855,306.77614405705333,307.34463825641893,307.17303966090606,307.7743568509973,307.87663329009814,307.90486106212205,308.2623690771042,308.05085772486893,308.38236993119665,308.39379233196905,308.6650415273248,308.55856374541105,308.1744034619597,308.05006997309147,307.9787784372357,307.75742018778294,308.5605331248547,308.48123277926186,309.1705155844975,309.38137047691805,310.19892552990905,309.5613717580568,308.8350646192828,308.82232929888136,308.70127810908565,308.0248619162145,308.454186634904,308.53808219919836,308.53348698049695,308.71992156781783,308.7124379259323,308.9645184947041,308.6162009171251,308.75747106920767,308.39142907663694,308.6534878345892,308.6865077632591,308.9171220960966,308.35545507880175,308.32788376659227,309.07532891139346,308.5000075299568,308.53992028667915,309.6034508321669
750.0,310.11348682936824,309.38590945926387,309.4931244123448,309.51711193584003,309.25775512103235,309.29605564197215,309.4955099119188,309.8326605183935,309.48543780260604,310.0802223630849,310.0071995705661,310.31029054423243,309.8225884090806,309.2482131227359,308.4024209959588,309.4284508683354,310.1403899634541,309.95286319137807,309.38856001434624,309.03895179898467,309.0889147622867,308.39924032986,308.75017382276286,308.6356698432055,309.2997664190876,309.41705348148145,309.4957749674272,309.77620369513943,309.58297822963635,309.84385911361636,309.9012436311492,310.2725863981861,310.2574119703396,309.86254552694703,309.73816822970787,309.5771470084551,309.31619986059815,310.2436290839114,310.04072909235776,310.8513351004168,311.3298265566577,312.1314869413136,311.2332138239061,310.4184331915923,310.51597361862275,310.40332502762294,309.89547867384516,309.80204660719255,309.99076612905554,310.15205240581645,310.4185657193465,310.4608420729099,310.71814470752867,310.5570572223991,310.8036913728115,310.6296824316555,311.1369986744167,310.9166050193195,310.69197047609066,310.147148878914,310.26880935719373,311.1360709801379,310.6939583924023,310.67858517292467,311.43823425952564
700.0,312.8528696975578,312.3803290379469,312.4475065859522,312.2540839074903,312.75527977872514,312.266654354099,312.36911025226397,312.82340348937845,312.3542419820816,313.2026795451186,313.0223679776355,312.97019386590506,312.52914690586204,311.8934607725241,311.66759823184617,312.8284046348033,313.3497402538305,313.1127940935622,312.3992522909062,312.09891323322444,311.6567849444409,311.7636337406144,311.8875810474974,312.0067975411407,312.5342832173797,312.4828525191583,312.85651918205707,312.91464060186036,312.67222021484326,312.9660037170356,312.90213773829805,313.5970942032263,313.49822020651436,313.41712055097463,312.9802637398012,312.90598997193626,313.00486396864824,314.1399212309714,314.4995982032896,314.3664596021121,314.649902898223,315.61850311755114,314.7977746034902,314.11829465616074,313.68988572577285,313.7277998147375,313.1254997062634,312.99344243382643,313.4669968391314,313.38920875285964,313.76091550741637,313.91480210380263,314.23440232967505,314.35929579920605,314.5755615473117,314.5146016395643,314.74695215268537,314.7870964821776,314.5719120628124,314.2850220313411,314.0624710599311,314.45364173181713,314.56454551076746,314.73444928912306,314.80372191156323
650.0,314.7586382286977,316.0202174772471,315.5259677825868,315.32882013901826,316.4828517584783,315.43415883092496,314.7597426972893,315.16646325607957,315.6979887657003,315.75072714094085,315.53618411705736,315.3641631339438,314.57391585678266,314.6158856632568,314.6236169433968,315.10157572633364,315.40640905756567,315.44975944977875,314.89421174829465,314.731578748208,314.0778714006614,315.02702409641284,315.0696841957565,315.3942599030599,315.2031868367444,315.7155222045892,316.36570905850067,316.0249804980477,315.89320358923385,315.96927386346806,315.8793287025542,316.3507297032297,316.38745328389433,316.89744165598256,316.096839985777,316.013038431403,316.19610410043083,317.6432340723388,317.97347018117335,318.4287873579861,318.1726887033507,318.9801933022527,318.5127269709341,317.9037506013401,317.57710401542766,317.61244701035304,317.3236284736967,316.8188863274178,317.24210488579246,316.69035379509126,317.082992379341,317.1107421527004,317.5960180400556,317.8118035911042,318.3143368002003,318.1465956328785,318.20043847671013,317.8677173135448,317.4408402029612,317.7677629060213,317.644752716652,317.51677241862126,317.865508376362,318.6019128096914,319.02174893300486
600.0,317.5432791460812,318.0849815734765,317.77450910009594,317.06951905703727,318.8207646098004,318.46961148476663,317.50146847632675,318.27849717335437,318.2840060115991,318.60563741373176,318.18371690509304,317.90502619081644,317.69215903095073,317.3274456886994,317.39256298179686,317.28888382098654,318.3892389472991,318.1255209728669,317.9225414713893,317.68707394949433,316.75961159270764,317.5466692003857,317.66023601958415,318.0542592063426,318.4234219948687,318.8922382547187,319.15242492258363,319.1611825628702,318.66227957106827,318.54694709858626,318.3974315785348,319.30271733007993,319.5034367953548,319.61728611907847,318.8060743744811,318.72619621993306,319.12572824493617,320.30970471075807,321.12416525739707,320.7940587195034,321.5172703044482,322.2667548102522,321.45469555207893,321.4520117590878,321.1690834769308,320.6389637350758,320.7491404999697,320.45914960467826,320.557319927244,319.59355573894743,320.0336977894725,320.19062905331504,320.79589499891836,320.98813932843177,321.83918421110627,321.677167865807,322.1079872669949,321.4312476764733,321.09407852544524,321.26004993409964,321.5172703044482,321.414862414002,322.1392040170481,322.65957735277794,322.4955834758012
550.0,322.7861395790114,322.3237680718207,322.40399162803243,321.7604654839814,322.2590389569714,322.71706622826605,321.00152747296175,321.9120793167495,322.46799670356586,321.7461295055247,321.19455635460423,321.0572785002928,321.7037008016078,320.90899524837823,321.4287106693952,321.13243378129243,321.3180774619121,321.60552107035977,322.31985825951455,321.7269424636511,321.33733690771726,322.1828700209294,322.39957498820496,322.4110872133291,323.09711446522863,323.4687638461259,322.87063496718747,322.70490236775737,322.69056638930084,322.7017165947671,322.61555591616434,323.4535590204901,323.29644248892055,323.4188775372541,322.6898423499848,322.942170051607,323.1352713371813,323.412578395205,323.8131169448102,324.38365992580964,325.1664912342568,325.49245373431506,324.8418320049674,324.66227025460205,324.3564360475284,323.90311503178765,323.55796548985575,323.3070858668656,323.839327168049,323.3513246690723,323.77626334362634,323.7168921197153,323.93504516562274,324.2520295781627,324.85240297898093,324.9854090013281,325.5192431890068,324.924951718443,324.8182283232663,324.6960828906589,324.7598707543975,324.1558047530679,324.4385421059616,324.15833889067375,323.9456161396362
